disease,num_targets,avg_score
autism spectrum disorder,1,0.57
pancreatic adenocarcinoma,1,0.269
Anxiety,1,0.12
developmental delay with or without intellectual impairment or behavioral abnormalities,1,0.779
celiac disease,1,0.147
congenital heart disease,1,0.04
polycystic ovary syndrome,1,0.544
centronuclear myopathy,1,0.386
inborn error of immunity,1,0.464
immunodeficiency 33,1,0.342
congenital dyserythropoietic anemia,1,0.296
pericarditis,1,0.263
"myopathy, centronuclear, 6, with fiber-type disproportion",1,0.75
split-foot malformation-mesoaxial polydactyly syndrome,1,0.743
congenital fiber-type disproportion myopathy,1,0.37
immunodeficiency 67,1,0.759
Split hand-split foot malformation,1,0.333
obstructive sleep apnea,1,0.028
neuroblastoma,1,0.802
"neuroblastoma, susceptibility to, 3",1,0.746
anaplastic large cell lymphoma,1,0.513
inflammatory myofibroblastic tumor,1,0.431
Immunodeficiency due to interleukin-1 receptor-associated kinase-4 deficiency,1,0.737
Sepsis,1,0.008
Neck pain,1,0.257
tonsillitis,1,0.02
uterine fibroid,1,0.419
Menorrhagia,1,0.264
Gastrointestinal hemorrhage,1,0.242
Uterine leiomyoma,1,0.192
hereditary attention deficit-hyperactivity disorder,1,0.073
cardiac hypertrophy,1,0.05
exostosis,1,0.256
hepatitis B virus infection,1,0.018
Barrett's esophagus,1,0.063
Abnormality of the face,1,0.37
bronchiectasis,1,0.219
bacteriemia,1,0.308
edema,1,0.021
brain compression,1,0.02
congenital fibrosarcoma,1,0.377
familial amyotrophic lateral sclerosis,1,0.559
maturity-onset diabetes of the young type 4,1,0.053
restless legs syndrome,1,0.366
primary ovarian insufficiency,1,0.056
Familial exudative vitreoretinopathy,1,0.05
Isolated follicle stimulating hormone deficiency,1,0.049
Kallmann syndrome,1,0.048
lissencephaly 7 with cerebellar hypoplasia,1,0.399
lissencephaly with cerebellar hypoplasia,1,0.185
vein disorder,1,0.329
Testicular Germ Cell Tumor,1,0.074
Varicose veins,1,0.329
autoimmune lymphoproliferative syndrome,1,0.667
Moderate albuminuria,1,0.321
"46,XX disorder of sex development",1,0.111
lymphoproliferative syndrome 1,1,0.766
post-traumatic stress disorder,1,0.039
"46,XX gonadal dysgenesis",1,0.057
corneal ulcer,1,0.274
peptic ulcer disease,1,0.285
pituitary gland disease,1,0.116
"diabetes mellitus, transient neonatal, 2",1,0.051
maturity-onset diabetes of the young type 2,1,0.047
maturity-onset diabetes of the young type 6,1,0.047
