SMILES,MolecularWeight,LogP,TPSA,HBD,HBA,RotatableBonds,Suitability
CC(C)[C@H](NC(=O)c1ccc2ccccc2n1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CC[C@@H](OCc2ccncc2)C[C@H]1C(=O)NC(C)(C)C,708.9,4.44,145.78,4.0,8.0,14.0,0
O=C1CCC(c2ccc(-n3ccnc3)cc2)=NN1,240.27,1.49,59.28,1.0,4.0,2.0,0
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,333.36,1.61,65.78,1.0,5.0,3.0,0
CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,302.37,2.58,69.64,2.0,4.0,6.0,0
CC(C)N(CCC(CCN1CCCCC1)(C(N)=O)c1ccccc1Cl)C(C)C,408.03,4.45,49.57,1.0,3.0,10.0,0
COc1ccc(C(=O)c2c(C)n(CCN3CCOCC3)c3ccccc23)cc1,378.47,3.52,43.7,0.0,5.0,6.0,0
C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O,213.23,0.33,86.63,3.0,3.0,4.0,0
CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,295.3,2.41,75.81,0.0,4.0,2.0,0
O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,281.27,2.38,84.6,1.0,4.0,2.0,0
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,270.72,3.13,41.46,1.0,2.0,1.0,0
CN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,302.74,3.29,32.67,0.0,2.0,1.0,0
NCc1cc(O)no1,114.1,-0.16,72.28,2.0,4.0,1.0,0
O=C(O)c1cn2c(cnc3ccccc32)n1,213.2,1.58,67.49,1.0,4.0,1.0,0
C/N=C(/S)[C@]1(c2cccnc2)CCCC[S@@+]1[O-],268.41,2.17,48.31,1.0,3.0,2.0,0
CC1(C)Oc2ccc(C#N)cc2[C@@H](N2CCCC2=O)[C@@H]1O,286.33,1.75,73.56,1.0,4.0,1.0,0
Cc1ccc2c(-c3ccccc3)nc(=O)n(C(C)C)c2c1,278.36,3.95,34.89,0.0,3.0,2.0,0
CCN(CCCCCC(C)(C)F)CCC[C@H](O)c1ccc(NS(C)(=O)=O)cc1,416.6,4.5,69.64,2.0,4.0,14.0,0
CC(C)c1ccccc1OCC1=NCCN1,218.3,2.19,33.62,1.0,3.0,4.0,0
